Hamming distance to root genotype	Hamming neighbor genotypes	genotype abundance
1	9	16
2	1	1
2	1	1
2	1	1
2	1	1
2	2	2
2	1	4
2	3	4
2	3	4
2	40	178
3	1	1
3	1	1
4	0	1
3	2	4
3	1	1
3	4	9
4	0	1
3	1	1
3	1	1
3	1	1
5	0	1
5	0	1
3	1	1
3	1	1
3	1	1
3	1	1
3	1	1
3	1	1
3	1	1
3	1	1
3	1	1
3	1	1
3	1	2
3	2	2
3	1	2
3	2	1
3	3	1
3	3	2
3	2	2
3	2	2
4	0	2
4	0	3
3	1	3
3	1	2
3	1	3
3	1	4
3	2	3
3	1	4
3	3	2
5	2	2
3	2	2
3	3	3
3	1	8
4	2	7
3	2	10
3	3	6
4	3	6
3	4	12
3	3	15
3	7	13
3	10	14
3	9	13
3	6	28
4	12	32
4	1	2
4	1	1
4	1	1
4	2	1
4	1	1
4	1	1
5	0	1
4	1	1
4	0	1
4	0	3
4	1	1
4	1	1
6	1	1
6	1	2
4	2	3
4	1	1
4	3	2
5	1	1
5	1	2
4	2	1
4	0	8
4	1	3
4	1	1
4	2	4
5	1	1
5	1	2
3	1	4
4	1	1
4	1	2
4	1	1
4	1	1
4	1	1
5	0	1
4	1	1
4	1	1
4	1	1
4	1	1
4	1	1
7	0	1
5	1	2
5	0	4
5	4	14
4	1	1
4	1	1
4	2	1
4	1	1
4	1	1
4	2	1
4	2	1
4	3	2
4	2	3
4	1	1
4	1	1
4	1	1
4	1	1
4	1	2
4	1	3
4	1	5
4	3	6
4	1	1
4	1	1
4	1	2
4	1	2
4	3	3
5	1	1
5	1	1
5	1	1
5	1	1
5	1	2
5	1	2
5	1	3
5	1	4
5	3	2
5	4	4
5	3	13
5	6	2
5	1	1
5	1	1
5	1	1
5	1	1
5	1	2
5	2	1
6	1	1
6	1	1
6	1	1
7	0	1
7	0	1
6	1	1
6	1	1
5	1	1
5	1	1
5	1	1
5	1	1
5	1	1
5	2	2
5	1	1
6	0	1
5	3	5
6	1	1
6	1	3
6	1	1
6	1	1
6	1	1
6	1	1
6	1	5
6	1	1
6	1	1
6	2	2
6	4	5
6	7	8
6	1	1
6	1	1
6	1	1
6	1	1
7	3	2
7	1	1
7	1	1
7	1	1
8	0	7
7	1	1
7	1	1
6	1	1
7	1	1
7	1	1
7	1	1
8	1	1
8	1	1
9	0	1
