simcell_1,simcell_192,simcell_230	gray
simcell_229	orangered
simcell_42	cornsilk
simcell_134	yellow
simcell_54	sienna
simcell_135	darkseagreen
simcell_85	slategray
simcell_228	yellowgreen
simcell_110,simcell_111	hotpink
simcell_197,simcell_200	whitesmoke
simcell_87,simcell_196,simcell_195	indianred
simcell_57,simcell_56,simcell_58,simcell_59,simcell_60,simcell_61,simcell_62	darkgray
simcell_246,simcell_243,simcell_245,simcell_254,simcell_244,simcell_255	navajowhite
simcell_166,simcell_216,simcell_160,simcell_165,simcell_168,simcell_167,simcell_217,simcell_169,simcell_218,simcell_164,simcell_219	lime
simcell_184,simcell_115,simcell_177,simcell_79,simcell_173,simcell_78,simcell_68,simcell_77,simcell_178,simcell_126,simcell_116,simcell_174,simcell_183,simcell_175,simcell_182,simcell_176,simcell_185	magenta
simcell_212,simcell_237,simcell_202,simcell_210,simcell_144,simcell_201,simcell_238	rosybrown
simcell_227	midnightblue
simcell_199	brown
simcell_198	blanchedalmond
simcell_194	orchid
simcell_193	oldlace
simcell_63	darkorange
simcell_55	amethyst
simcell_221	floralwhite
simcell_224	papayawhip
simcell_222	salmon
simcell_252,simcell_253	antiquewhite
simcell_250	plum
simcell_109	peru
simcell_158	coral
simcell_159	gold
simcell_170	steelblue
simcell_171	red
simcell_172	lightgoldenrodyellow
simcell_161,simcell_162	darksalmon
simcell_36	dodgerblue
simcell_69	ivory
simcell_179	darkslategray
simcell_65	bisque
simcell_186	maroon
simcell_127	royalblue
simcell_83	blueviolet
simcell_75,simcell_76,simcell_74	mediumorchid
simcell_30	turquoise
simcell_123,simcell_121	cyan
simcell_209	teal
simcell_211	snow
simcell_94	limegreen
simcell_207,simcell_208	powderblue
simcell_95,simcell_96	springgreen
simcell_97	lightgreen
simcell_19	lightgreen
simcell_239,simcell_242,simcell_241	darkgreen
simcell_232,simcell_233,simcell_231	palegreen
simcell_148,simcell_152,simcell_146,simcell_154,simcell_155,simcell_145,simcell_104,simcell_151	chocolate
simcell_247	lightcoral
simcell_248	lemonchiffon
simcell_251	cadetblue
simcell_256,simcell_257	lightpink
simcell_163	deeppink
simcell_82	firebrick
simcell_118	lightsteelblue
simcell_181	seashell
simcell_180	lightblue
simcell_120,simcell_119	cornflowerblue
simcell_71	tan
simcell_122	palegoldenrod
simcell_73	mediumblue
simcell_48	lightskyblue
simcell_98	mediumseagreen
simcell_44	darkslateblue
simcell_137,simcell_91	olivedrab
simcell_240	honeydew
simcell_234	darkturquoise
simcell_153	goldenrod
simcell_149	wheat
simcell_147	thistle
simcell_215,simcell_213,simcell_214	forestgreen
simcell_72	lightcyan
simcell_136	darkviolet
simcell_235	green
simcell_236	darkgoldenrod
