C1	S72 S895 S899 SS900
C2	S118 S119 S120 S121 S122 S123 S124 S125 S383 S384 SS673
C3	S189 S190 S191 S192 S193 S194 S195 S196 S972 S976 SS979
C4	S106 S108 S252 S274 S475 S490 S832 S833 S835 S836 SS837
C5	S863 S864 S865 S866 S867 S868 S869 S870 S918 S927 SS928
C6	S2 S4 S5 S6 S7 S649 S650 S651 S652 S653 SS844
C7	S176 S501 S502 S503 S504 S505 S506 S511 S512 SS540
C8	S44 S45 S46 S47 S48 S49 S50 S51 S92 S93 S96 S99 S102 S105 S157 S158 S159 S160 S161 S163 S164 S212 S213 S214 S215 S332 S333 S334 S335 S336 S337 S338 S339 S340 S341 S357 S359 S360 S361 S465 S466 S467 S470 S471 S473 S541 S542 S543 S544 S545 S546 S547 S548 S549 S550 S609 S610 S611 S612 S613 S614 S625 S626 S628 S629 S630 S631 S740 S741 S830 S831 S834 S838 S839 SS952
C9	S254 S257 S492 S496 S497 S584 S879 S880 S883 SS884
C10	S305 S429 S685 S702 S914 SS934
C11	S141 S871 S872 SS873
C12	S363 S364 S366 SS949
C13	S353 S355 S356 SS627
C14	S536 S941 S942 SS943
C15	S263 S266 S277 S585 S586 S591 S806 S877 S878 S881 SS882
C16	S258 S259 S260 S261 S262 S264 S265 S386 S387 S665 SS945
C17	S3 S25 S37 S39 S40 S41 S42 S43 S89 S172 S173 S174 S216 S217 S218 S219 S220 S222 S223 S304 S307 S308 S310 S476 S477 S478 S479 S480 S481 S482 S483 S484 S579 S580 S581 S582 S583 S624 S632 S633 S634 S635 S636 S637 S639 S640 S917 S932 S933 S946 SS981
C18	S66 S95 S615 S799 S808 SS974
C19	S32 S33 S34 S35 S36 S178 S198 S199 S202 S203 S207 S311 S312 S313 S314 S315 S316 S317 S318 S447 S449 S450 S451 S452 S453 S454 S517 S587 S588 S589 S590 S592 S593 S594 S600 S687 S723 S724 S725 S727 S728 S729 S730 S771 S810 S885 S886 S887 S888 S909 SS930
C20	S276 S739 S787 S890 S893 SS896
C21	S8 S573 S574 S576 S577 SS578
C22	S167 S168 S169 S170 S171 SS225
C23	S1 S109 S667 S842 SS843
C24	S111 S165 S166 S210 S385 SS797
C25	S599 S957 S958 SS959
C26	S348 S485 S486 SS487
C27	S731 S732 S733 S734 S735 S736 S737 S738 S816 S819 SS929
C28	S13 S14 S17 S18 S19 S20 S21 S140 S143 S144 S179 S282 S283 S288 S289 S290 S291 S292 S293 S294 S295 S400 S401 S402 S403 S404 S405 S406 S407 S555 S557 S560 S561 S562 S563 S564 S565 S674 S675 S676 S677 S678 S679 S680 S681 S682 S840 S845 S846 S847 SS848
C29	S236 S464 S468 SS469
C30	S175 S694 S794 S919 S920 S921 S922 S923 S924 S925 SS926
C31	S68 S91 S94 S97 S98 S100 S101 S103 S104 S107 S149 S197 S221 S239 S269 S298 S306 S325 S375 S376 S378 S379 S380 S381 S382 S507 S508 S641 S642 S643 S644 S645 S646 S647 S648 S655 S656 S788 S789 S790 S791 S792 S793 S795 S796 S936 S938 S939 S940 S947 SS960
C32	S22 S31 S114 S134 S142 S146 S177 S253 S267 S268 S270 S275 S352 S414 S416 S419 S420 S421 S425 S432 S491 S522 S558 S559 S566 S567 S568 S569 S570 S572 S688 S689 S690 S691 S692 S720 S800 S849 S850 S851 S852 S853 S854 S860 S861 S980 S984 S985 S986 S987 SS988
C33	S9 S10 S11 S12 S15 S135 S139 S250 S251 S271 S272 S273 S278 S279 S280 S281 S284 S285 S286 S287 S436 S437 S440 S441 S442 S443 S444 S445 S446 S551 S552 S553 S554 S571 S703 S704 S710 S711 S712 S713 S714 S715 S716 S717 S719 S757 S760 S786 S874 S875 SS876
C34	S23 S24 S26 S28 S29 S30 S69 S76 S162 S296 S297 S299 S300 S301 S302 S321 S322 S323 S347 S397 S398 S426 S427 S433 S434 S435 S438 S439 S595 S596 S597 S598 S601 S602 S671 S672 S695 S697 S705 S706 S707 S708 S709 S722 S726 S889 S891 S894 S897 S901 SS970
C35	S367 S368 S369 S370 S371 S372 S373 S374 S377 S700 SS862
C36	S181 S182 S183 S184 S185 S186 S187 S188 S303 S309 SS489
C37	S147 S148 S150 S151 S152 S153 S154 S155 S156 S209 S211 S255 S256 S320 S354 S413 S415 S417 S418 S423 S424 S516 S520 S521 S523 S532 S533 S537 S538 S539 S683 S684 S686 S743 S812 S814 S855 S856 S857 S858 S859 S971 S973 S975 S977 S978 S982 S983 S989 S990 SS991
C38	S27 S54 S116 S117 S138 S180 S238 S329 S343 S346 S351 S358 S362 S365 S388 S389 S390 S391 S392 S393 S394 S395 S396 S399 S409 S488 S519 S616 S623 S638 S661 S666 S668 S669 S670 S696 S698 S701 S718 S721 S772 S817 S818 S822 S823 S892 S915 S916 S953 S955 SS956
C39	S52 S53 S55 S56 S57 S773 S774 S775 S776 S777 SS931
C40	S756 S798 S801 S802 S803 SS804
C41	S237 S410 S411 S472 S474 SS556
C42	S38 S65 S73 S74 S75 S85 S87 S112 S145 S206 S226 S227 S228 S229 S230 S231 S232 S233 S234 S235 S342 S344 S345 S349 S350 S430 S448 S493 S495 S498 S499 S500 S518 S617 S618 S619 S620 S621 S622 S699 S742 S744 S745 S755 S758 S759 S937 S948 S950 S951 SS954
C43	S62 S64 S431 S575 S604 SS841
C44	S71 S319 S509 S654 S693 SS935
C45	S16 S70 S408 S412 S422 SS428
C46	S58 S59 S60 S61 S63 S67 S77 S78 S79 S80 S81 S82 S83 S84 S86 S88 S90 S110 S113 S115 S126 S127 S128 S129 S130 S131 S132 S133 S136 S137 S200 S201 S204 S205 S208 S224 S240 S241 S242 S243 S244 S245 S246 S247 S248 S249 S324 S326 S327 S328 S330 S331 S455 S456 S457 S458 S459 S460 S461 S462 S463 S494 S510 S513 S514 S515 S524 S525 S526 S527 S528 S529 S530 S531 S534 S535 S603 S605 S606 S607 S608 S657 S658 S659 S660 S662 S663 S664 S746 S747 S748 S749 S750 S751 S752 S753 S754 S761 S762 S763 S764 S765 S766 S767 S768 S769 S770 S778 S779 S780 S781 S782 S783 S784 S785 S805 S807 S809 S811 S813 S815 S820 S821 S824 S825 S826 S827 S828 S829 S898 S902 S903 S904 S905 S906 S907 S908 S910 S911 S912 S913 S944 S961 S962 S963 S964 S965 S966 S967 S968 SS969
