simcell_1	gray
simcell_10	lemonchiffon
simcell_6	sandybrown
simcell_4	lightseagreen
simcell_17,simcell_18	orange
simcell_12	lawngreen
simcell_20,simcell_21,simcell_19	linen
simcell_8	rosybrown
simcell_7	lightslategray
simcell_30	olive
simcell_15	skyblue
simcell_40,simcell_51	dodgerblue
simcell_60,simcell_50,simcell_38,simcell_77,simcell_59	purple
simcell_32	darkgreen
simcell_33	lightsalmon
simcell_31	lightcoral
simcell_29	green
simcell_74	aliceblue
simcell_75	mediumslateblue
simcell_28	azure
simcell_81,simcell_80	peachpuff
simcell_71,simcell_70,simcell_69	turquoise
simcell_84,simcell_85,simcell_83,simcell_88,simcell_82	pink
simcell_52	moccasin
simcell_42,simcell_41	forestgreen
simcell_37	amethyst
simcell_61	palegoldenrod
simcell_76	antiquewhite
simcell_49	goldenrod
simcell_24	coral
simcell_79	olivedrab
simcell_35	magenta
simcell_68	mintcream
simcell_86	limegreen
simcell_87	palevioletred
simcell_78	cyan
simcell_62	aqua
simcell_63	lightgoldenrodyellow
simcell_64,simcell_66	mediumorchid
simcell_65	saddlebrown
