simcell_1	gray
simcell_6	palegoldenrod
simcell_5	wheat
simcell_4	springgreen
simcell_20	mediumaquamarine
simcell_21	darkgray
simcell_12	lime
simcell_10	lightseagreen
simcell_54,simcell_52	aliceblue
simcell_75,simcell_50,simcell_73,simcell_71,simcell_72,simcell_51	darkgreen
simcell_19	lightgoldenrodyellow
simcell_7	maroon
simcell_29,simcell_28	darksalmon
simcell_53	darkcyan
simcell_74	ivory
simcell_78,simcell_76	turquoise
simcell_33	mediumslateblue
simcell_14	lawngreen
simcell_37,simcell_36,simcell_34,simcell_35,simcell_39	indianred
simcell_43	peachpuff
simcell_16	crimson
simcell_61,simcell_84,simcell_87,simcell_62,simcell_85,simcell_86	steelblue
simcell_77	lightblue
simcell_56	darkviolet
simcell_79,simcell_80	purple
simcell_81,simcell_82,simcell_83	orchid
simcell_38	midnightblue
simcell_42	darkolivegreen
simcell_26	darkmagenta
simcell_68	burlywood
simcell_64,simcell_63	darkturquoise
simcell_45	whitesmoke
simcell_65,simcell_66	thistle
simcell_67	navy
simcell_47	sienna
simcell_69	saddlebrown
simcell_70	lavender
