simcell_1	gray
simcell_3	darkred
simcell_2	pink
simcell_150	salmon
simcell_299	lightgrey
simcell_823,simcell_819,simcell_822	darkturquoise
simcell_363,simcell_189,simcell_364	blue
simcell_33	seashell
simcell_8	burlywood
simcell_16	navajowhite
simcell_588,simcell_863,simcell_587,simcell_171,simcell_864,simcell_585	goldenrod
simcell_27,simcell_58	honeydew
simcell_443,simcell_448,simcell_447,simcell_699,simcell_697,simcell_446	greenyellow
simcell_644,simcell_385,simcell_643,simcell_384,simcell_1056	cornsilk
simcell_711,simcell_932,simcell_712	orchid
simcell_543	midnightblue
simcell_542	darkorchid
simcell_544	bisque
simcell_545	moccasin
simcell_300	slategray
simcell_547,simcell_546,simcell_302	lemonchiffon
simcell_821	greenyellow
simcell_820	honeydew
simcell_541	yellowgreen
simcell_1023	mediumturquoise
simcell_188	darkslateblue
simcell_191	snow
simcell_358	lightgoldenrodyellow
simcell_93,simcell_94	lightskyblue
simcell_360,simcell_359,simcell_362	darkorchid
simcell_307,simcell_308	sienna
simcell_156	darkblue
simcell_553,simcell_552	mistyrose
simcell_832	paleturquoise
simcell_99	floralwhite
simcell_101	oldlace
simcell_369	mediumseagreen
simcell_97	lightslategray
simcell_104,simcell_106,simcell_105,simcell_107	fuchsia
simcell_45	mediumblue
simcell_379	linen
simcell_98	tomato
simcell_621,simcell_619,simcell_613,simcell_617,simcell_615,simcell_620	darkolivegreen
simcell_89,simcell_88	purple
simcell_356,simcell_354,simcell_350	lightblue
simcell_609,simcell_599,simcell_610,simcell_606,simcell_344,simcell_177	deepskyblue
simcell_586	paleturquoise
simcell_331	lightsalmon
simcell_861	lemonchiffon
simcell_161,simcell_315	forestgreen
simcell_329	coral
simcell_35	steelblue
simcell_564,simcell_1047,simcell_852,simcell_851	powderblue
simcell_57	thistle
simcell_60,simcell_59	indigo
simcell_236	orchid
simcell_126	lightsteelblue
simcell_444	tan
simcell_438	blueviolet
simcell_698	maroon
simcell_442	fuchsia
simcell_691,simcell_692	deeppink
simcell_240,simcell_239	darkmagenta
simcell_693,simcell_695,simcell_696,simcell_694	blue
simcell_120	lawngreen
simcell_55	aquamarine
simcell_1175	lightyellow
simcell_388	plum
simcell_386	whitesmoke
simcell_1174	darkturquoise
simcell_394	mediumblue
simcell_639	limegreen
simcell_114	antiquewhite
simcell_1057,simcell_1059,simcell_1060	ivory
simcell_885	darkviolet
simcell_203	cornsilk
simcell_414,simcell_411,simcell_412,simcell_409	crimson
simcell_49	lightseagreen
simcell_1061,simcell_890,simcell_899,simcell_1065,simcell_897,simcell_1062	lightskyblue
simcell_673	indianred
simcell_933	mediumblue
simcell_258	dimgray
simcell_69	ivory
simcell_707	springgreen
simcell_931,simcell_929	darkturquoise
simcell_135	aqua
simcell_490,simcell_492	ghostwhite
simcell_938,simcell_937,simcell_939	orangered
simcell_715,simcell_714	darkblue
simcell_256	blanchedalmond
simcell_68	brown
simcell_451	lightgrey
simcell_483,simcell_762,simcell_487,simcell_486,simcell_760	olivedrab
simcell_1107,simcell_1108	palegoldenrod
simcell_67	slateblue
simcell_801,simcell_802,simcell_810,simcell_1016,simcell_1014,simcell_1010,simcell_1013,simcell_808,simcell_804,simcell_290,simcell_289,simcell_811,simcell_809,simcell_1015,simcell_1017,simcell_524,simcell_1011	saddlebrown
simcell_66	beige
simcell_474,simcell_973,simcell_972,simcell_473	cornflowerblue
simcell_1024	dimgray
simcell_1025	cornsilk
simcell_357	olive
simcell_92	papayawhip
simcell_95	lavenderblush
simcell_361	cyan
simcell_157	mediumturquoise
simcell_306	gainsboro
simcell_833	goldenrod
simcell_831	navajowhite
simcell_829,simcell_830	lightgoldenrodyellow
simcell_827,simcell_826,simcell_824,simcell_549,simcell_825,simcell_828	mintcream
simcell_370	lightcoral
simcell_195	gold
simcell_373,simcell_371,simcell_372	navy
simcell_103	silver
simcell_202,simcell_200,simcell_201	royalblue
simcell_381	darkgray
simcell_631,simcell_630	mediumvioletred
simcell_632,simcell_634	lightpink
simcell_375	whitesmoke
