simcell_1,simcell_30	gray
simcell_31	deepskyblue
simcell_8	yellowgreen
simcell_15,simcell_16	mediumaquamarine
simcell_52	darkred
simcell_35	whitesmoke
simcell_76,simcell_77,simcell_67,simcell_65,simcell_64,simcell_66	moccasin
simcell_14	aqua
simcell_51	cornflowerblue
simcell_29	oldlace
simcell_28	lavender
simcell_36	lightseagreen
simcell_33,simcell_34,simcell_32	lightsteelblue
simcell_59	cadetblue
simcell_24	orchid
simcell_49,simcell_50	lightgreen
simcell_26	slategray
simcell_63	gainsboro
simcell_40	orange
simcell_78	mediumslateblue
simcell_56,simcell_57,simcell_55	chocolate
simcell_71,simcell_70	olive
simcell_48,simcell_46,simcell_47	limegreen
simcell_81,simcell_83,simcell_82	mediumseagreen
simcell_25	darkmagenta
simcell_62	lightgoldenrodyellow
simcell_60	mistyrose
simcell_61	khaki
simcell_79	lightskyblue
simcell_69	linen
simcell_72	sandybrown
simcell_45	amethyst
simcell_54	deeppink
simcell_75	yellow
simcell_80	violet
